"PostId";"PostTypeId";"VersionCount"
906;2;3
18349;2;2
37333;2;2
37846;2;2
41934;1;2
49796;2;2
51366;2;4
64814;2;2
65689;2;2
87382;2;9
93012;2;2
101262;2;2
104099;1;2
105175;2;2
111700;1;5
122778;1;2
135077;2;4
146067;2;2
147053;1;3
147886;2;3
152711;2;2
153388;1;3
160024;2;3
160041;2;2
161114;1;2
165728;2;4
168604;2;2
182053;1;3
185941;2;4
187189;1;3
190066;1;2
190373;2;3
199613;1;2
212747;2;2
215836;2;2
216380;2;2
226804;2;2
234600;1;2
249266;1;2
270022;2;2
277234;2;2
284566;1;2
285418;1;2
287671;2;3
295861;1;3
298049;1;4
304965;2;2
311781;1;2
314199;1;2
328463;1;2
328883;2;2
337704;1;11
339648;2;2
342632;1;3
344339;2;2
345622;2;2
347745;2;2
355837;2;3
361072;2;3
363726;1;2
364581;2;2
364671;1;5
365630;2;2
374428;2;3
376954;1;2
381264;2;2
389734;2;3
390529;2;3
404819;2;2
405169;2;2
410014;2;2
413520;2;3
420605;2;2
421871;2;3
429188;2;2
442979;2;2
447000;2;2
456989;2;2
460605;2;3
482550;1;3
483732;2;2
491097;2;2
494736;2;2
497265;1;2
500267;2;2
506608;2;2
511148;1;3
527006;2;6
533553;1;4
534915;2;4
541251;2;2
547158;2;8
554028;2;2
557173;2;3
557698;2;4
559632;1;3
561254;1;4
562783;2;2
566040;1;4
569503;2;2
570084;2;2
574827;1;2
576203;2;2
580160;1;2
581145;2;4
590860;2;2
607528;1;2
622266;2;4
637946;2;3
643975;1;2
646361;1;5
647369;2;3
650717;2;2
651785;2;2
652463;2;3
653896;2;2
657507;1;2
667936;1;2
670307;1;2
683138;1;3
684941;2;3
685929;2;2
687928;2;2
692667;2;3
693557;2;2
696375;1;4
705173;1;3
705366;1;2
709198;2;3
727632;2;2
731589;1;2
734761;1;3
740222;2;2
747749;2;2
754092;2;2
756363;2;2
767105;1;2
769101;2;2
771061;1;2
773406;2;2
774496;2;2
776762;2;3
778036;2;2
782380;2;2
790939;2;2
799777;2;3
805967;2;2
809826;1;2
812668;2;3
813081;2;2
821397;1;2
829165;2;3
835417;1;3
850513;2;2
851402;1;2
855373;2;2
863172;1;2
877578;1;2
889901;2;2
893820;2;2
900867;1;2
909163;1;3
911624;2;2
919424;1;2
925208;2;2
927648;2;2
933291;2;2
935237;2;7
935922;1;2
948206;2;3
952405;2;2
961723;2;2
962790;2;2
965921;2;2
972901;2;3
974251;2;2
977773;2;3
983738;1;2
992076;1;3
1000816;2;2
1001032;1;3
1002144;1;2
1002653;1;5
1012962;2;3
1018234;1;2
1019805;2;2
1032957;2;7
1038633;2;2
1040124;2;2
1048909;1;2
1052731;2;4
1053563;2;3
1056127;2;4
1058228;2;2
1058580;2;2
1065127;2;2
1072780;1;3
1075916;2;2
1078478;1;3
1080914;2;3
1081807;2;2
1084520;2;2
1089054;1;3
1108179;2;2
1111545;2;2
1116862;2;3
1119769;2;4
1120860;2;3
1121275;1;2
1122456;1;2
1125795;2;2
1133830;2;2
1133887;2;2
1137383;1;6
1141079;2;3
1144737;2;5
1146175;2;2
1157146;2;2
1162007;1;2
1165310;2;2
1165983;1;2
1167024;2;2
1168225;2;2
1175084;2;2
1181447;1;2
1181739;2;3
1184757;2;2
1186372;2;2
1195339;1;2
1199323;2;2
1204293;2;3
1212487;2;3
1216456;2;2
1232677;2;2
1235849;1;3
1239918;1;2
1245283;2;2
1255447;1;2
1258711;1;4
1259333;2;2
1261370;2;2
1264224;2;2
1276819;2;2
1282283;1;3
1289133;2;3
1299079;2;2
1299950;2;3
1308945;2;2
1315907;2;3
1316708;2;2
1318703;1;2
1335899;1;2
1354892;2;2
1357177;2;5
1366397;2;4
1366725;2;2
1372369;2;2
1377690;2;2
1380912;2;2
1382127;2;2
1382677;2;2
1389186;2;2
1396640;2;2
1400226;1;2
1401446;2;3
1405937;2;4
1408929;2;2
1416099;1;3
1424071;2;2
1425489;2;2
1429471;2;3
1443465;1;2
1450887;1;2
1455534;2;2
1456956;1;3
