"PostId";"PostTypeId"
26050416;2
30040411;1
28118893;2
25488162;1
2579869;2
38113915;1
7016109;1
13081285;1
25160608;1
40398626;2
36843239;2
31730617;2
27803362;2
8805132;1
29149240;2
24848884;1
673654;1
29443655;2
34362501;1
13363349;2
40207874;1
37818383;2
44149391;1
21260674;1
6766369;1
32342082;1
17892392;2
13600962;2
31733844;1
18343244;2
14369463;2
27971168;2
43403662;2
7456304;2
20965995;2
34907365;2
29535537;2
13594962;1
3995388;2
32205729;1
166548;2
31304776;1
41898783;2
4186542;1
21647653;1
39554022;1
40836808;2
26596856;1
38415236;1
16874913;1
13386986;1
32960600;2
27874548;1
4494490;2
25382089;1
10244330;2
6123453;1
18200150;1
32801275;2
15313200;2
8432848;2
8343514;2
18932575;1
37768471;2
1870600;1
26044128;2
2129173;2
42131488;1
31685584;1
35213206;2
38138245;2
23405041;2
42732069;1
32292973;2
41480290;1
22037280;2
4696621;2
17503262;1
20576586;1
29812009;1
31054664;2
27488215;2
26538681;2
27771292;2
11257333;2
32184722;1
33674324;1
20960047;2
23943004;2
15037082;1
38463455;1
36741782;1
34426911;1
26953938;1
20507509;1
12633603;1
39313130;2
41212928;1
24698772;1
27668576;2
