"PostId";"PostTypeId"
8852978;2
16572983;2
9955401;2
20413891;2
24996803;1
29071745;2
11262492;2
42369010;1
40111416;2
6555506;2
26845541;1
11311217;2
4515539;2
3573310;2
22381389;1
26871625;2
9721403;2
17907491;2
24387343;2
25882870;1
39687693;2
29342855;2
21120863;1
39918848;2
32256175;2
26670303;2
5521321;2
13450233;2
5864112;1
3851496;2
37492581;1
12256901;1
23865596;2
34681224;1
31034687;1
4769102;1
24375270;1
42695138;1
3329282;1
14606421;1
18583837;2
32782886;1
17664297;1
41291710;1
26383526;2
33086961;2
25871278;1
27197039;1
29519520;1
5144896;1
32733285;1
19771666;2
836912;2
43531482;2
14564476;2
39074984;2
37030143;2
39298776;1
38997067;1
41771382;2
28570072;1
502437;2
14585818;2
27254697;1
12606836;2
25800616;2
34701679;2
9258645;2
34034291;1
43205443;2
28591690;1
39599432;1
1336419;2
18572380;2
32919899;2
40591131;1
37105691;2
3872793;1
3440556;2
18940349;1
33187566;2
32560290;1
19175014;1
11384945;1
39918094;2
30839754;2
29332010;2
40075682;2
18745252;1
23674146;1
35891476;2
6166132;1
35161118;2
42237737;1
5781253;2
42396312;2
2857307;2
34081280;2
28897494;1
5231147;1
