"PostId";"PostTypeId";"VersionCount"
9033;1;49
22873;1;57
81584;1;77
388242;1;88
388282;2;56
477578;2;45
680713;2;52
961942;1;45
1055933;2;69
1362687;1;49
1451355;2;46
1562802;2;50
1771483;2;58
1779343;2;45
2144878;2;69
2700609;2;57
2747041;2;53
2793153;2;45
3697776;2;51
3737139;1;87
3852260;1;57
3931142;2;44
4377116;2;55
4546129;2;60
4612075;1;49
4620977;1;52
4642097;1;55
4673436;2;754
4686856;1;79
4920150;1;50
5100420;2;51
5511507;2;70
5854862;2;48
6581949;2;46
8212184;2;44
8460108;2;81
8716680;2;54
9326721;1;51
9550412;2;43
9592461;1;162
10146873;1;43
10335943;2;98
11543117;1;43
11713272;2;75
12006038;2;82
12769982;1;54
12902653;2;43
12973883;2;48
12977067;2;67
14011518;1;115
15893226;2;66
16063711;2;65
16699282;2;49
18371427;2;62
18531494;2;285
20466454;2;45
21640424;2;51
21889520;2;45
22944075;2;136
23314054;1;45
23551970;2;45
23569891;2;44
23874880;2;77
24128010;2;45
24218728;2;53
25232725;2;57
25975282;2;65
26654430;2;70
26778123;2;62
27451172;2;43
27759550;2;74
28271069;2;100
28763847;2;46
28793544;1;126
28931276;1;51
29217925;2;46
29723024;1;44
31225836;2;92
32108439;2;43
33067594;2;53
33392042;1;56
33852194;1;46
34354906;2;51
34818149;1;45
37367688;1;44
37952301;1;52
38060437;2;59
38229214;1;49
38765929;2;43
39855349;1;54
40623315;1;55
41241236;1;48
41291098;2;48
41766523;2;48
41789025;2;65
41867111;1;50
42473747;2;59
42478170;2;46
43318963;2;72
43959020;2;67
