"PostId";"PostTypeId";"VersionCount"
2337537;2;3
2448328;2;2
2501882;2;2
2752526;2;2
3006703;2;4
3442770;2;2
3552962;2;2
5093079;2;3
5597165;2;2
6026870;2;3
7082643;2;2
7471859;2;2
9202891;2;2
9217140;2;2
10055775;2;2
10143625;2;3
10381975;2;6
10401935;2;2
10646354;2;2
11219315;2;2
13050478;2;3
13232149;2;3
13651791;2;2
14795271;2;2
14839318;2;3
15167794;2;3
15461080;2;13
15513253;2;3
15944287;2;2
16056955;2;2
17460865;2;3
18276636;2;3
18315419;2;2
18447464;2;4
18724229;2;4
19523370;2;2
19599842;2;6
19660473;2;2
20169153;2;6
20303126;2;3
20928013;2;2
21142019;2;5
23225665;2;4
23459881;2;2
24794554;2;6
25045721;2;9
25095831;2;4
25266161;2;2
26025914;2;2
26314477;2;2
26328944;2;3
26587840;2;3
26796319;2;4
27271962;2;2
27417886;2;6
27714264;2;7
28976391;2;4
29050407;2;2
29443844;2;3
29587679;2;4
29762130;2;2
30599514;2;4
30696331;2;3
31014296;2;4
31683102;2;5
31816167;2;2
31897620;2;2
32830143;2;3
32841902;2;2
33014592;2;2
33076987;2;2
33472882;2;2
33858028;2;2
33901642;2;2
34055064;2;4
35131955;2;3
35855193;2;3
36082771;2;4
36140536;2;3
37383812;2;2
38708021;2;2
38742394;2;2
38917222;2;2
39201318;2;2
40692704;2;6
40810750;2;3
41115739;2;2
41408581;2;2
41740439;2;2
42399384;2;3
42444874;2;4
42608016;2;2
43054688;2;3
43295645;2;4
43508159;2;3
43545916;2;2
43707129;2;5
43966248;2;2
44036743;2;2
44095400;2;2
