"PostId";"PostTypeId"
30799061;1
2852467;1
15403854;1
39315646;1
36107778;2
24371695;1
41221957;1
43926442;2
5939732;1
32209475;2
20038558;1
28785113;1
24339448;1
23601602;1
27757202;1
22707219;2
16683112;2
9468444;1
14366930;1
13003049;2
23658425;2
3920776;1
37625877;1
19346965;1
9140498;2
27270722;1
11077528;1
44244052;1
21238830;2
39016820;2
31084336;2
30669071;1
21432990;1
42049984;2
29226646;2
9332340;2
20586684;1
21749432;2
9372104;2
35106428;1
37028529;1
22434361;1
31725542;2
12057214;1
31930333;2
33600782;2
28676020;1
10266188;2
2651510;2
16350701;2
29988910;1
8473188;2
24753483;1
29901134;1
42958778;2
5761712;1
33685540;1
30339903;2
6903043;1
28909177;2
39033896;1
33424453;2
21663761;1
16503224;1
28673440;1
39596594;1
33081388;2
33198494;1
7782916;2
6122220;2
4025018;2
8432692;2
28428976;2
20786845;1
13577223;2
29113416;2
21084616;1
26791680;2
25550937;1
22147462;1
26446315;2
6804238;1
21431835;1
23732538;1
24210839;1
7938057;1
32552895;2
26192721;2
17234244;1
15119106;1
27841344;1
39638884;2
33516431;1
39552029;2
40971109;1
31141024;1
20728410;1
29414638;2
12771773;2
28018604;2
