Id;PostHistoryTypeId;PostId;RevisionGUID;CreationDate;UserId;UserDisplayName;Comment;Text
74278496;2;26044128;cc5ce67d-2a68-4ee8-b695-214fe619ee1f;2014-09-25 16:58:47;1342440;;;"You could convert each array within the array to a string and use indexOf instead to find `""0,1""`, otherwise you are strictly comparing objects and that won't work because no two objects are the same. &#xD;&#xA;&#xD;&#xA;<!-- begin snippet: js hide: false -->&#xD;&#xA;&#xD;&#xA;<!-- language: lang-js -->&#xD;&#xA;&#xD;&#xA;    function myFunction() {&#xD;&#xA;      &#xD;&#xA;      var haystack = [[0,1],[1,1],[1,2]];&#xD;&#xA;      var needle = [0,1]  ;&#xD;&#xA;&#xD;&#xA;      var stringArray = haystack.map(function(array){       &#xD;&#xA;        return array.join();&#xD;&#xA;      });  &#xD;&#xA;      &#xD;&#xA;      // becomes [""0,1"",""1,1"",""1,2""]&#xD;&#xA;&#xD;&#xA;      var a = stringArray.indexOf( needle.join() ); // ""0,1""&#xD;&#xA;      &#xD;&#xA;      document.getElementById(""demo"").innerHTML = a;&#xD;&#xA;      &#xD;&#xA;    }&#xD;&#xA;&#xD;&#xA;<!-- language: lang-html -->&#xD;&#xA;&#xD;&#xA;    <p>Click the button to display the position of the element ""[0,1]"":</p>&#xD;&#xA;    <button onclick=""myFunction()"">Try it</button>&#xD;&#xA;    <p id=""demo""></p>&#xD;&#xA;&#xD;&#xA;<!-- end snippet -->"
74278806;5;26044128;5cd3e12a-7813-4b08-b129-49ce11dc84fa;2014-09-25 17:03:52;1342440;;deleted 2 characters in body;"**Convert and compare strings**&#xD;&#xA;&#xD;&#xA;You could convert each array within the array to a string using [`map()`][1] and [`join()`][2]. Then use indexOf instead to find `""0,1""`, you are strictly comparing objects except no two objects are the same. &#xD;&#xA;&#xD;&#xA;<!-- begin snippet: js hide: false -->&#xD;&#xA;&#xD;&#xA;<!-- language: lang-js -->&#xD;&#xA;&#xD;&#xA;    function myFunction() {&#xD;&#xA;      &#xD;&#xA;      var haystack = [[0,1],[1,1],[1,2]];&#xD;&#xA;      var needle = [0,1];&#xD;&#xA;&#xD;&#xA;      var stringArray = haystack.map(function(array){       &#xD;&#xA;        return array.join();&#xD;&#xA;      });  &#xD;&#xA;      &#xD;&#xA;      // becomes [""0,1"",""1,1"",""1,2""]&#xD;&#xA;&#xD;&#xA;      var a = stringArray.indexOf( needle.join() ); // ""0,1""&#xD;&#xA;      &#xD;&#xA;      document.getElementById(""demo"").innerHTML = a;&#xD;&#xA;      &#xD;&#xA;    }&#xD;&#xA;&#xD;&#xA;<!-- language: lang-html -->&#xD;&#xA;&#xD;&#xA;    <button onclick=""myFunction()"">Try it</button>&#xD;&#xA;    <p id=""demo""></p>&#xD;&#xA;&#xD;&#xA;<!-- end snippet -->&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;  [1]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/map&#xD;&#xA;  [2]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/join"
74279099;5;26044128;4d7c4ce6-4f85-44d0-b21d-d559c05e3e48;2014-09-25 17:09:04;1342440;;added 110 characters in body;"**Convert and compare strings**&#xD;&#xA;&#xD;&#xA;Strictly comparing objects is false because no two objects are the same. You could convert each array within the array to a string using [`map()`][1] and [`join()`][2]. Then use [`indexOf`][3] instead to find `""0,1""`.&#xD;&#xA;&#xD;&#xA;    [0,1] === [0,1] // false&#xD;&#xA;    ""0,1"" === ""0,1"" // true&#xD;&#xA;    &#xD;&#xA;&#xD;&#xA;<!-- begin snippet: js hide: false -->&#xD;&#xA;&#xD;&#xA;<!-- language: lang-js -->&#xD;&#xA;&#xD;&#xA;    function myFunction() {&#xD;&#xA;      &#xD;&#xA;      var haystack = [ [0,1],[1,1],[1,2] ];&#xD;&#xA;      var needle = [0,1];&#xD;&#xA;&#xD;&#xA;      var stringArray = haystack.map(function(array){       &#xD;&#xA;        return array.join();&#xD;&#xA;      });  &#xD;&#xA;      &#xD;&#xA;      // becomes [""0,1"",""1,1"",""1,2""]&#xD;&#xA;&#xD;&#xA;      var a = stringArray.indexOf( needle.join() ); // ""0,1""&#xD;&#xA;      &#xD;&#xA;      document.getElementById(""demo"").innerHTML = a;&#xD;&#xA;      &#xD;&#xA;    }&#xD;&#xA;&#xD;&#xA;<!-- language: lang-html -->&#xD;&#xA;&#xD;&#xA;    <button onclick=""myFunction()"">Try it</button>&#xD;&#xA;    <p id=""demo""></p>&#xD;&#xA;&#xD;&#xA;<!-- end snippet -->&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;  [1]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/map&#xD;&#xA;  [2]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/join&#xD;&#xA;  [3]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/indexOf"
74279497;5;26044128;f7d08cc9-f562-4a6f-8f33-a8ffe7e744bf;2014-09-25 17:14:52;1342440;;added 2 characters in body;"**Convert and compare strings**&#xD;&#xA;&#xD;&#xA;Strictly comparing objects is false because no two objects are the same. You could convert each array within the array to a string using [`map()`][1] and [`join()`][2]. Then use [`indexOf`][3] instead to find `""0,1""`.&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;    [0,1] === [0,1] // false&#xD;&#xA;&#xD;&#xA;    ""0,1"" === ""0,1"" // true&#xD;&#xA;    &#xD;&#xA;&#xD;&#xA;**The outcome:** `[""0,1"",""1,1"",""1,2""].indexOf(""0,1"")` which is the intended use of `indexOf()`&#xD;&#xA;&#xD;&#xA;<hr>&#xD;&#xA;<!-- begin snippet: js hide: false -->&#xD;&#xA;&#xD;&#xA;<!-- language: lang-js -->&#xD;&#xA;&#xD;&#xA;    function myFunction() {&#xD;&#xA;      &#xD;&#xA;      var haystack = [ [0,1],[1,1],[1,2] ];&#xD;&#xA;      var needle = [0,1].join();&#xD;&#xA;&#xD;&#xA;      var stringArray = haystack.map(function(array){       &#xD;&#xA;        return array.join();&#xD;&#xA;      });        &#xD;&#xA;&#xD;&#xA;      var a = stringArray.indexOf(needle);&#xD;&#xA;      &#xD;&#xA;      document.getElementById(""demo"").innerHTML = a;&#xD;&#xA;      &#xD;&#xA;    }&#xD;&#xA;&#xD;&#xA;<!-- language: lang-html -->&#xD;&#xA;&#xD;&#xA;    <button onclick=""myFunction()"">Try it</button>&#xD;&#xA;    <p id=""demo""></p>&#xD;&#xA;&#xD;&#xA;<!-- end snippet -->&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;  [1]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/map&#xD;&#xA;  [2]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/join&#xD;&#xA;  [3]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/indexOf"
74279997;5;26044128;8326bedc-cfb0-4868-a825-da59c7a33afe;2014-09-25 17:22:44;1342440;;added 1 character in body;"**Convert and compare strings**&#xD;&#xA;&#xD;&#xA;Strictly comparing objects is false because no two objects are the same. You could convert each array within the array to a string using [`map()`][1] and [`join()`][2]. Then use [`indexOf`][3] to instead  find `""0,1""`.&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;    [0,1] === [0,1] // false&#xD;&#xA;&#xD;&#xA;    ""0,1"" === ""0,1"" // true&#xD;&#xA;&#xD;&#xA;<hr>    &#xD;&#xA;&#xD;&#xA;**The outcome:** `[""0,1"",""1,1"",""1,2""].indexOf(""0,1"")` which is the intended use of `indexOf()`&#xD;&#xA;&#xD;&#xA;<hr>&#xD;&#xA;<!-- begin snippet: js hide: false -->&#xD;&#xA;&#xD;&#xA;<!-- language: lang-js -->&#xD;&#xA;&#xD;&#xA;    function myFunction() {&#xD;&#xA;      &#xD;&#xA;      var myArray = [ [0,1],[1,1],[1,2] ];&#xD;&#xA;      var needle = [0,1].join(); // or ""0,1""&#xD;&#xA;&#xD;&#xA;      var haystack = myArray.map(function(array){       &#xD;&#xA;        return array.join();&#xD;&#xA;      });        &#xD;&#xA;&#xD;&#xA;      var index = haystack.indexOf(needle);&#xD;&#xA;      &#xD;&#xA;      document.getElementById(""demo"").innerHTML = index ;&#xD;&#xA;      &#xD;&#xA;    }&#xD;&#xA;&#xD;&#xA;<!-- language: lang-html -->&#xD;&#xA;&#xD;&#xA;    <button onclick=""myFunction()"">Try it</button>&#xD;&#xA;    <p id=""demo""></p>&#xD;&#xA;&#xD;&#xA;<!-- end snippet -->&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;  [1]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/map&#xD;&#xA;  [2]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/join&#xD;&#xA;  [3]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/indexOf"
74281251;5;26044128;37f0a3c1-d5c9-4f30-8e48-e6b57748d8a0;2014-09-25 17:42:43;1342440;;deleted 53 characters in body;"**Convert and compare strings**&#xD;&#xA;&#xD;&#xA;Strictly comparing objects is false because no two objects are the same. You could convert each array within the array to a string using [`join()`][1] and [`split()`][2]. Then use [`indexOf`][3] to instead  find `""0,1""`.&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;    [0,1] === [0,1] // false&#xD;&#xA;&#xD;&#xA;    ""0,1"" === ""0,1"" // true&#xD;&#xA;&#xD;&#xA;<hr>    &#xD;&#xA;&#xD;&#xA;**The outcome:** `[""0,1"",""1,1"",""1,2""].indexOf(""0,1"")` which is the intended use of `indexOf()`&#xD;&#xA;&#xD;&#xA;<hr>&#xD;&#xA;<!-- begin snippet: js hide: false -->&#xD;&#xA;&#xD;&#xA;<!-- language: lang-js -->&#xD;&#xA;&#xD;&#xA;    function myFunction() {&#xD;&#xA;      &#xD;&#xA;      var myArray = [ [0,1],[1,1],[1,2] ];&#xD;&#xA;      var needle = [0,1].join(); // or ""0,1""&#xD;&#xA;      var haystack = myArray.join('-').split('-');        &#xD;&#xA;      var index = haystack.indexOf(needle);      &#xD;&#xA;      document.getElementById(""demo"").innerHTML = index ;&#xD;&#xA;      &#xD;&#xA;    }&#xD;&#xA;&#xD;&#xA;<!-- language: lang-html -->&#xD;&#xA;&#xD;&#xA;    <button onclick=""myFunction()"">Try it</button>&#xD;&#xA;    <p id=""demo""></p>&#xD;&#xA;&#xD;&#xA;<!-- end snippet -->&#xD;&#xA;&#xD;&#xA;&#xD;&#xA; - `.join('-')` produces `""0,1-1,1-1,2""`&#xD;&#xA;&#xD;&#xA; - `.split('-')` produces `[""0,1"", ""1,1"", ""1,2""]`&#xD;&#xA;&#xD;&#xA;  [1]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/join&#xD;&#xA;  [2]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/String/split&#xD;&#xA;  [3]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/indexOf"
74281657;5;26044128;7e426bb6-566c-452e-bad6-1afad1679430;2014-09-25 17:49:19;1342440;;deleted 30 characters in body;"**Convert and compare strings**&#xD;&#xA;&#xD;&#xA;Strictly comparing objects is false because no two objects are the same. You could convert each array within the array to a string using [`join()`][1] and [`split()`][2]. Then use [`indexOf`][3] to instead  find `""0,1""`.&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;    [0,1] === [0,1] // false&#xD;&#xA;&#xD;&#xA;    ""0,1"" === ""0,1"" // true&#xD;&#xA;&#xD;&#xA;<hr>    &#xD;&#xA;&#xD;&#xA;**The outcome:** `[""0,1"",""1,1"",""1,2""].indexOf(""0,1"")` which is the intended use of `indexOf()`&#xD;&#xA;&#xD;&#xA;<hr>&#xD;&#xA;<!-- begin snippet: js hide: false -->&#xD;&#xA;&#xD;&#xA;<!-- language: lang-js -->&#xD;&#xA;&#xD;&#xA;    function myFunction() {      &#xD;&#xA;        var needle = [0,1].join(); // or ""0,1""&#xD;&#xA;        var haystack = [ [0,1],[1,1],[1,2] ];&#xD;&#xA;        var index = haystack.join('-').split('-').indexOf(needle);      &#xD;&#xA;        document.getElementById(""demo"").innerHTML = index ;      &#xD;&#xA;    }&#xD;&#xA;&#xD;&#xA;<!-- language: lang-html -->&#xD;&#xA;&#xD;&#xA;    <button onclick=""myFunction()"">Try it</button>&#xD;&#xA;    <p id=""demo""></p>&#xD;&#xA;&#xD;&#xA;<!-- end snippet -->&#xD;&#xA;&#xD;&#xA;&#xD;&#xA; - `.join('-')` produces `""0,1-1,1-1,2""`&#xD;&#xA;&#xD;&#xA; - `.split('-')` produces `[""0,1"", ""1,1"", ""1,2""]`&#xD;&#xA;&#xD;&#xA; - `.indexOf(""0,1"")` produces `0`&#xD;&#xA;&#xD;&#xA;  [1]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/join&#xD;&#xA;  [2]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/String/split&#xD;&#xA;  [3]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/indexOf"
74281952;5;26044128;2732ed5b-b113-4362-ad35-7790d106920f;2014-09-25 17:54:42;1342440;;deleted 30 characters in body;"<h2>Convert and compare strings</h2>&#xD;&#xA;&#xD;&#xA;Strictly comparing objects is false because no two objects are the same. You could convert each array within the array to a string using [`join()`][1] and [`split()`][2]. Then use [`indexOf`][3] to instead  find `""0,1""`.&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;    [0,1] === [0,1] // false&#xD;&#xA;&#xD;&#xA;    ""0,1"" === ""0,1"" // true&#xD;&#xA;&#xD;&#xA;<hr>    &#xD;&#xA;&#xD;&#xA;**The goal:** `[""0,1"",""1,1"",""1,2""].indexOf(""0,1"")` which is the intended use of `indexOf()`&#xD;&#xA;&#xD;&#xA;<hr>&#xD;&#xA;<!-- begin snippet: js hide: false -->&#xD;&#xA;&#xD;&#xA;<!-- language: lang-js -->&#xD;&#xA;&#xD;&#xA;    function myFunction() {      &#xD;&#xA;        var needle = [0,1].join(); // or ""0,1""&#xD;&#xA;        var haystack = [ [0,1],[1,1],[1,2] ];&#xD;&#xA;        var index = haystack.join('-').split('-').indexOf(needle);      &#xD;&#xA;        document.getElementById(""demo"").innerHTML = index ;      &#xD;&#xA;    }&#xD;&#xA;&#xD;&#xA;<!-- language: lang-html -->&#xD;&#xA;&#xD;&#xA;    <button onclick=""myFunction()"">Try it</button>&#xD;&#xA;    <p id=""demo""></p>&#xD;&#xA;&#xD;&#xA;<!-- end snippet -->&#xD;&#xA;&#xD;&#xA;&#xD;&#xA; - `.join('-')` produces `""0,1-1,1-1,2""`&#xD;&#xA;&#xD;&#xA; - `.split('-')` produces `[""0,1"", ""1,1"", ""1,2""]`&#xD;&#xA;&#xD;&#xA; - `.indexOf(""0,1"")` produces `0`&#xD;&#xA;&#xD;&#xA;<hr>&#xD;&#xA;&#xD;&#xA;<h2>Abstract version</h2>&#xD;&#xA;&#xD;&#xA;    function arrayInArray(needle, haystack) {      &#xD;&#xA;        return haystack.join('-').split('-').indexOf( needle.join() );          &#xD;&#xA;    } &#xD;&#xA;&#xD;&#xA;    arrayInArray([0,1], [[""0,1""],[""1,1""],[""1,2""]]) // returns 0&#xD;&#xA;&#xD;&#xA;  [1]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/join&#xD;&#xA;  [2]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/String/split&#xD;&#xA;  [3]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/indexOf"
74282430;5;26044128;138de355-d172-4dd6-9600-20e499b3501a;2014-09-25 18:02:33;1342440;;added 10 characters in body;"<h2>Convert and compare strings</h2>&#xD;&#xA;&#xD;&#xA;Strictly comparing objects is false because no two objects are the same. You could convert each array within the array to a string using [`join()`][1] and [`split()`][2]. Then use [`indexOf`][3] to instead  find `""0,1""`.&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;    [0,1] === [0,1] // false&#xD;&#xA;&#xD;&#xA;    ""0,1"" === ""0,1"" // true&#xD;&#xA;&#xD;&#xA;<hr>    &#xD;&#xA;&#xD;&#xA;**The goal:** `[""0,1"",""1,1"",""1,2""].indexOf(""0,1"")` which is the intended use of `indexOf()`&#xD;&#xA;&#xD;&#xA;<hr>&#xD;&#xA;<!-- begin snippet: js hide: false -->&#xD;&#xA;&#xD;&#xA;<!-- language: lang-js -->&#xD;&#xA;&#xD;&#xA;    function myFunction() { &#xD;&#xA;     &#xD;&#xA;        var needle = [0,1].join(); // or ""0,1""&#xD;&#xA;&#xD;&#xA;        var haystack = [ [0,1],[1,1],[1,2] ];&#xD;&#xA;&#xD;&#xA;        var index = haystack.join('-').split('-').indexOf(needle); &#xD;&#xA;     &#xD;&#xA;        document.getElementById(""demo"").innerHTML = index ;  &#xD;&#xA;    &#xD;&#xA;    }&#xD;&#xA;&#xD;&#xA;<!-- language: lang-html -->&#xD;&#xA;&#xD;&#xA;    <button onclick=""myFunction()"">Try it</button>&#xD;&#xA;    <p id=""demo""></p>&#xD;&#xA;&#xD;&#xA;<!-- end snippet -->&#xD;&#xA;&#xD;&#xA;&#xD;&#xA; - `.join('-')` produces `""0,1-1,1-1,2""`&#xD;&#xA;&#xD;&#xA; - `.split('-')` produces `[""0,1"", ""1,1"", ""1,2""]`&#xD;&#xA;&#xD;&#xA; - `.indexOf(""0,1"")` produces `0`&#xD;&#xA;&#xD;&#xA;<hr>&#xD;&#xA;&#xD;&#xA;<h2>Abstract version</h2>&#xD;&#xA;&#xD;&#xA;    function arrayInArray(needle, haystack) {      &#xD;&#xA;        return haystack.join('-').split('-').indexOf( needle.join() );          &#xD;&#xA;    } &#xD;&#xA;&#xD;&#xA;    arrayInArray([0,1], [[""0,1""],[""1,1""],[""1,2""]]) // returns 0&#xD;&#xA;&#xD;&#xA;  [1]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/join&#xD;&#xA;  [2]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/String/split&#xD;&#xA;  [3]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/indexOf"
74284779;5;26044128;4dd56a85-c4ef-4632-a7e1-3724f299c267;2014-09-25 18:40:21;1342440;;added 80 characters in body;"<h2>Convert and compare strings</h2>&#xD;&#xA;&#xD;&#xA;Strictly comparing objects is false because no two objects are the same. You could convert each array within the array to a string using [`join()`][1] and [`split()`][2]. Then use [`indexOf`][3] to instead  find `""0,1""`.&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;    [0,1] === [0,1] // false&#xD;&#xA;&#xD;&#xA;    ""0,1"" === ""0,1"" // true&#xD;&#xA;&#xD;&#xA;<hr>    &#xD;&#xA;&#xD;&#xA;**The goal:** `[""0,1"",""1,1"",""1,2""].indexOf(""0,1"")` which is the intended use of `indexOf()`&#xD;&#xA;&#xD;&#xA;<hr>&#xD;&#xA;<!-- begin snippet: js hide: false -->&#xD;&#xA;&#xD;&#xA;<!-- language: lang-js -->&#xD;&#xA;&#xD;&#xA;    function myFunction() { &#xD;&#xA;     &#xD;&#xA;        var needle = [0,1].join(); // or ""0,1""&#xD;&#xA;&#xD;&#xA;        var haystack = [ [0,1],[1,1],[1,2] ];&#xD;&#xA;&#xD;&#xA;        var index = haystack.join('-').split('-').indexOf(needle); &#xD;&#xA;     &#xD;&#xA;        document.getElementById(""demo"").innerHTML = index ;  &#xD;&#xA;    &#xD;&#xA;    }&#xD;&#xA;&#xD;&#xA;<!-- language: lang-html -->&#xD;&#xA;&#xD;&#xA;    <button onclick=""myFunction()"">Try it</button>&#xD;&#xA;    <p id=""demo""></p>&#xD;&#xA;&#xD;&#xA;<!-- end snippet -->&#xD;&#xA;&#xD;&#xA;&#xD;&#xA; - `.join('-')` produces `""0,1-1,1-1,2""`&#xD;&#xA;&#xD;&#xA; - `.split('-')` produces `[""0,1"", ""1,1"", ""1,2""]`&#xD;&#xA;&#xD;&#xA; - `.indexOf(""0,1"")` produces `0`&#xD;&#xA;&#xD;&#xA;<hr>&#xD;&#xA;&#xD;&#xA;<h2>Abstract version</h2>&#xD;&#xA;&#xD;&#xA;    var needle = [0,1];&#xD;&#xA;    var haystack = [[""0,1""],[""1,1""],[""1,2""]];&#xD;&#xA;    var index = getIndex(needle, haystack) // returns 0&#xD;&#xA;&#xD;&#xA;    function getIndex(needle, haystack) {      &#xD;&#xA;        return haystack.join('-').split('-').indexOf( needle.join() );          &#xD;&#xA;    } &#xD;&#xA;&#xD;&#xA;&#xD;&#xA;  [1]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/join&#xD;&#xA;  [2]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/String/split&#xD;&#xA;  [3]: https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/indexOf"
