PostId;PostHistoryId;PostBlockTypeId;LocalId;PredLocalId;SuccLocalId;Comment
3758880;7873162;1;1;null;1;""
3758880;7873319;1;1;1;1;""
3758880;7873489;1;1;1;1;""
3758880;7873581;1;1;1;1;""
3758880;7874248;1;1;1;1;""
3758880;7874570;1;1;1;1;""
3758880;7874704;1;1;1;1;""
3758880;7875126;1;1;1;1;""
3758880;15577610;1;1;1;1;""
3758880;24534909;1;1;1;1;""
3758880;130380462;1;1;1;null;""
3758880;7873162;2;2;null;2;""
3758880;7873319;2;2;2;2;""
3758880;7873489;2;2;2;2;""
3758880;7873581;2;2;2;2;""
3758880;7874248;2;2;2;2;""
3758880;7874570;2;2;2;2;""
3758880;7874704;2;2;2;2;""
3758880;7875126;2;2;2;2;""
3758880;15577610;2;2;2;2;""
3758880;24534909;2;2;2;2;""
3758880;130380462;2;2;2;null;""
3758880;7873162;1;3;null;null;""
3758880;7873162;2;4;null;null;""
3758880;7873162;1;5;null;null;""
3758880;7873162;2;6;null;4;""
3758880;7873319;2;4;6;4;""
3758880;7873489;2;4;4;4;""
3758880;7873581;2;4;4;4;""
3758880;7874248;2;4;4;4;""
3758880;7874570;2;4;4;4;""
3758880;7874704;2;4;4;4;""
3758880;7875126;2;4;4;4;""
3758880;15577610;2;4;4;4;""
3758880;24534909;2;4;4;4;""
3758880;130380462;2;4;4;null;""
3758880;7873319;1;3;null;3;" Test"
3758880;7873489;1;3;3;3;""
3758880;7873581;1;3;3;3;""
3758880;7874248;1;3;3;3;""
3758880;7874570;1;3;3;3;""
3758880;7874704;1;3;3;3;""
3758880;7875126;1;3;3;3;""
3758880;15577610;1;3;3;3;""
3758880;24534909;1;3;3;3;""
3758880;130380462;1;3;3;null;""
3758880;130380462;1;5;null;null;""
