Sample;Metric;Threshold;PostId;PostHistoryId;RuntimeText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;RuntimeCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode
TestManager;levenshtein;0.3;22037280;58996741;173;0;0;0;0;37;0;0;0;0
TestManager;levenshtein;0.3;22037280;58997388;173;3;6;0;0;37;2;2;0;0
TestManager;levenshtein;0.3;22037280;59004094;173;2;6;0;1;37;2;2;0;0
TestManager;levenshtein;0.3;22037280;59078493;173;3;6;0;0;37;2;2;0;0
TestManager;levenshtein;0.3;22037280;60329723;173;3;6;0;0;37;2;2;0;0
TestManager;levenshtein;0.3;22037280;69262919;173;3;6;0;0;37;2;2;0;0
TestManager;levenshtein;0.3;22037280;147248795;173;3;6;0;0;37;2;2;0;0
TestManager;levenshteinNormalized;0.3;22037280;58996741;167;0;0;0;0;2;0;0;0;0
TestManager;levenshteinNormalized;0.3;22037280;58997388;167;3;6;0;0;2;2;2;0;0
TestManager;levenshteinNormalized;0.3;22037280;59004094;167;2;6;0;1;2;2;2;0;0
TestManager;levenshteinNormalized;0.3;22037280;59078493;167;3;6;0;0;2;2;2;0;0
TestManager;levenshteinNormalized;0.3;22037280;60329723;167;3;6;0;0;2;2;2;0;0
TestManager;levenshteinNormalized;0.3;22037280;69262919;167;3;6;0;0;2;2;2;0;0
TestManager;levenshteinNormalized;0.3;22037280;147248795;167;3;6;0;0;2;2;2;0;0
TestManager;damerauLevenshtein;0.3;22037280;58996741;704;0;0;0;0;16;0;0;0;0
TestManager;damerauLevenshtein;0.3;22037280;58997388;704;3;6;0;0;16;2;2;0;0
TestManager;damerauLevenshtein;0.3;22037280;59004094;704;2;6;0;1;16;2;2;0;0
TestManager;damerauLevenshtein;0.3;22037280;59078493;704;3;6;0;0;16;2;2;0;0
TestManager;damerauLevenshtein;0.3;22037280;60329723;704;3;6;0;0;16;2;2;0;0
TestManager;damerauLevenshtein;0.3;22037280;69262919;704;3;6;0;0;16;2;2;0;0
TestManager;damerauLevenshtein;0.3;22037280;147248795;704;3;6;0;0;16;2;2;0;0
TestManager;damerauLevenshteinNormalized;0.3;22037280;58996741;576;0;0;0;0;10;0;0;0;0
TestManager;damerauLevenshteinNormalized;0.3;22037280;58997388;576;3;6;0;0;10;2;2;0;0
TestManager;damerauLevenshteinNormalized;0.3;22037280;59004094;576;2;6;0;1;10;2;2;0;0
TestManager;damerauLevenshteinNormalized;0.3;22037280;59078493;576;3;6;0;0;10;2;2;0;0
TestManager;damerauLevenshteinNormalized;0.3;22037280;60329723;576;3;6;0;0;10;2;2;0;0
TestManager;damerauLevenshteinNormalized;0.3;22037280;69262919;576;3;6;0;0;10;2;2;0;0
TestManager;damerauLevenshteinNormalized;0.3;22037280;147248795;576;3;6;0;0;10;2;2;0;0
TestManager;optimalAlignment;0.3;22037280;58996741;507;0;0;0;0;7;0;0;0;0
TestManager;optimalAlignment;0.3;22037280;58997388;507;3;6;0;0;7;2;2;0;0
TestManager;optimalAlignment;0.3;22037280;59004094;507;2;6;0;1;7;2;2;0;0
TestManager;optimalAlignment;0.3;22037280;59078493;507;3;6;0;0;7;2;2;0;0
TestManager;optimalAlignment;0.3;22037280;60329723;507;3;6;0;0;7;2;2;0;0
TestManager;optimalAlignment;0.3;22037280;69262919;507;3;6;0;0;7;2;2;0;0
TestManager;optimalAlignment;0.3;22037280;147248795;507;3;6;0;0;7;2;2;0;0
TestManager;optimalAlignmentNormalized;0.3;22037280;58996741;351;0;0;0;0;7;0;0;0;0
