Sample;Metric;Threshold;PostId;PostHistoryId;RuntimeText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;RuntimeCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode
TestManager;levenshtein;0.3;22037280;58996741;99;0;0;0;0;2;0;0;0;0
TestManager;levenshtein;0.3;22037280;58997388;99;3;6;0;0;2;2;2;0;0
TestManager;levenshtein;0.3;22037280;59004094;99;2;6;0;1;2;2;2;0;0
TestManager;levenshtein;0.3;22037280;59078493;99;3;6;0;0;2;2;2;0;0
TestManager;levenshtein;0.3;22037280;60329723;99;3;6;0;0;2;2;2;0;0
TestManager;levenshtein;0.3;22037280;69262919;99;3;6;0;0;2;2;2;0;0
TestManager;levenshtein;0.3;22037280;147248795;99;3;6;0;0;2;2;2;0;0
TestManager;levenshteinNormalized;0.3;22037280;58996741;83;0;0;0;0;2;0;0;0;0
TestManager;levenshteinNormalized;0.3;22037280;58997388;83;3;6;0;0;2;2;2;0;0
TestManager;levenshteinNormalized;0.3;22037280;59004094;83;2;6;0;1;2;2;2;0;0
TestManager;levenshteinNormalized;0.3;22037280;59078493;83;3;6;0;0;2;2;2;0;0
TestManager;levenshteinNormalized;0.3;22037280;60329723;83;3;6;0;0;2;2;2;0;0
TestManager;levenshteinNormalized;0.3;22037280;69262919;83;3;6;0;0;2;2;2;0;0
TestManager;levenshteinNormalized;0.3;22037280;147248795;83;3;6;0;0;2;2;2;0;0
TestManager;damerauLevenshtein;0.3;22037280;58996741;606;0;0;0;0;14;0;0;0;0
TestManager;damerauLevenshtein;0.3;22037280;58997388;606;3;6;0;0;14;2;2;0;0
TestManager;damerauLevenshtein;0.3;22037280;59004094;606;2;6;0;1;14;2;2;0;0
TestManager;damerauLevenshtein;0.3;22037280;59078493;606;3;6;0;0;14;2;2;0;0
TestManager;damerauLevenshtein;0.3;22037280;60329723;606;3;6;0;0;14;2;2;0;0
TestManager;damerauLevenshtein;0.3;22037280;69262919;606;3;6;0;0;14;2;2;0;0
TestManager;damerauLevenshtein;0.3;22037280;147248795;606;3;6;0;0;14;2;2;0;0
TestManager;damerauLevenshteinNormalized;0.3;22037280;58996741;510;0;0;0;0;10;0;0;0;0
TestManager;damerauLevenshteinNormalized;0.3;22037280;58997388;510;3;6;0;0;10;2;2;0;0
TestManager;damerauLevenshteinNormalized;0.3;22037280;59004094;510;2;6;0;1;10;2;2;0;0
TestManager;damerauLevenshteinNormalized;0.3;22037280;59078493;510;3;6;0;0;10;2;2;0;0
TestManager;damerauLevenshteinNormalized;0.3;22037280;60329723;510;3;6;0;0;10;2;2;0;0
TestManager;damerauLevenshteinNormalized;0.3;22037280;69262919;510;3;6;0;0;10;2;2;0;0
TestManager;damerauLevenshteinNormalized;0.3;22037280;147248795;510;3;6;0;0;10;2;2;0;0
TestManager;optimalAlignment;0.3;22037280;58996741;299;0;0;0;0;7;0;0;0;0
TestManager;optimalAlignment;0.3;22037280;58997388;299;3;6;0;0;7;2;2;0;0
TestManager;optimalAlignment;0.3;22037280;59004094;299;2;6;0;1;7;2;2;0;0
TestManager;optimalAlignment;0.3;22037280;59078493;299;3;6;0;0;7;2;2;0;0
TestManager;optimalAlignment;0.3;22037280;60329723;299;3;6;0;0;7;2;2;0;0
TestManager;optimalAlignment;0.3;22037280;69262919;299;3;6;0;0;7;2;2;0;0
TestManager;optimalAlignment;0.3;22037280;147248795;299;3;6;0;0;7;2;2;0;0
TestManager;optimalAlignmentNormalized;0.3;22037280;58996741;259;0;0;0;0;6;0;0;0;0
TestManager;optimalAlignmentNormalized;0.3;22037280;58997388;259;3;6;0;0;6;2;2;0;0
TestManager;optimalAlignmentNormalized;0.3;22037280;59004094;259;2;6;0;1;6;2;2;0;0
TestManager;optimalAlignmentNormalized;0.3;22037280;59078493;259;3;6;0;0;6;2;2;0;0
TestManager;optimalAlignmentNormalized;0.3;22037280;60329723;259;3;6;0;0;6;2;2;0;0
TestManager;optimalAlignmentNormalized;0.3;22037280;69262919;259;3;6;0;0;6;2;2;0;0
TestManager;optimalAlignmentNormalized;0.3;22037280;147248795;259;3;6;0;0;6;2;2;0;0
TestManager;longestCommonSubsequence;0.3;22037280;58996741;144;0;0;0;0;4;0;0;0;0
TestManager;longestCommonSubsequence;0.3;22037280;58997388;144;3;6;0;0;4;2;2;0;0
TestManager;longestCommonSubsequence;0.3;22037280;59004094;144;2;6;0;1;4;2;2;0;0
TestManager;longestCommonSubsequence;0.3;22037280;59078493;144;3;6;0;0;4;2;2;0;0
TestManager;longestCommonSubsequence;0.3;22037280;60329723;144;3;6;0;0;4;2;2;0;0
TestManager;longestCommonSubsequence;0.3;22037280;69262919;144;3;6;0;0;4;2;2;0;0
TestManager;longestCommonSubsequence;0.3;22037280;147248795;144;3;6;0;0;4;2;2;0;0
TestManager;longestCommonSubsequenceNormalized;0.3;22037280;58996741;126;0;0;0;0;3;0;0;0;0
