PostId;PostHistoryId;LocalId;PostBlockTypeId;PossiblePredecessorsCount;PossibleSuccessorsCount;PossiblePredecessorLocalIds;PossibleSuccessorLocalIds
12310289;28913454;1;1;0;2;[];[1, 5]
12310289;28913454;2;2;0;2;[];[2, 6]
12310289;28913454;3;1;0;2;[];[3, 7]
12310289;28913454;4;2;0;2;[];[4, 8]
13530340;32238205;9;1;0;2;[];[9, 13]
13530340;32238205;13;1;0;2;[];[9, 13]
13530340;32238535;9;1;2;2;[9, 13];[9, 13]
13530340;32238535;13;1;2;2;[9, 13];[9, 13]
13530340;32238988;9;1;2;2;[9, 13];[9, 13]
13530340;32238988;13;1;2;2;[9, 13];[9, 13]
13530340;32239730;9;1;2;2;[9, 13];[9, 13]
13530340;32239730;13;1;2;2;[9, 13];[9, 13]
13530340;32240621;9;1;2;2;[9, 13];[7, 11]
13530340;32240621;13;1;2;2;[9, 13];[7, 11]
13530340;32580567;7;1;2;2;[9, 13];[5, 9]
13530340;32580567;11;1;2;2;[9, 13];[5, 9]
13530340;32580853;5;1;2;2;[7, 11];[5, 9]
13530340;32580853;9;1;2;2;[7, 11];[5, 9]
13530340;32581088;5;1;2;0;[5, 9];[]
13530340;32581088;9;1;2;0;[5, 9];[]
13864539;33174729;14;2;0;7;[];[14, 16, 18, 20, 26, 28, 34]
13864539;33174729;16;2;0;7;[];[14, 16, 18, 20, 26, 28, 34]
13864539;33174729;18;2;0;7;[];[14, 16, 18, 20, 26, 28, 34]
13864539;33174729;20;2;0;7;[];[14, 16, 18, 20, 26, 28, 34]
13864539;33174729;23;1;0;2;[];[23, 27]
13864539;33174729;26;2;0;7;[];[14, 16, 18, 20, 26, 28, 34]
13864539;33174729;27;1;0;2;[];[23, 27]
13864539;33174729;28;2;0;7;[];[14, 16, 18, 20, 26, 28, 34]
13864539;33174729;34;2;0;7;[];[14, 16, 18, 20, 26, 28, 34]
13864539;33174869;14;2;7;0;[14, 16, 18, 20, 26, 28, 34];[]
13864539;33174869;16;2;7;0;[14, 16, 18, 20, 26, 28, 34];[]
13864539;33174869;18;2;7;0;[14, 16, 18, 20, 26, 28, 34];[]
13864539;33174869;20;2;7;0;[14, 16, 18, 20, 26, 28, 34];[]
13864539;33174869;23;1;2;0;[23, 27];[]
13864539;33174869;26;2;7;0;[14, 16, 18, 20, 26, 28, 34];[]
13864539;33174869;27;1;2;0;[23, 27];[]
13864539;33174869;28;2;7;0;[14, 16, 18, 20, 26, 28, 34];[]
13864539;33174869;34;2;7;0;[14, 16, 18, 20, 26, 28, 34];[]
14871666;35958978;3;1;0;2;[];[3, 7]
15769799;38456036;3;1;0;2;[];[3, 7]
15769799;38456036;7;1;0;2;[];[3, 7]
15769799;38456985;3;1;2;0;[3, 7];[]
15769799;38456985;7;1;2;0;[3, 7];[]
16558194;40644824;6;2;0;5;[];[8, 10, 12, 14, 16]
16558194;40644824;8;2;0;5;[];[8, 10, 12, 14, 16]
16558194;40644824;10;2;0;5;[];[8, 10, 12, 14, 16]
16558194;40644824;12;2;0;5;[];[8, 10, 12, 14, 16]
16558194;40644824;14;2;0;5;[];[8, 10, 12, 14, 16]
16558194;40644824;16;2;0;2;[];[18, 20]
16558194;40644824;18;2;0;2;[];[18, 20]
16558194;40647284;8;2;5;4;[6, 8, 10, 12, 14];[8, 10, 12, 14]
16558194;40647284;10;2;5;4;[6, 8, 10, 12, 14];[8, 10, 12, 14]
16558194;40647284;12;2;5;4;[6, 8, 10, 12, 14];[8, 10, 12, 14]
16558194;40647284;14;2;5;4;[6, 8, 10, 12, 14];[8, 10, 12, 14]
16558194;40647284;16;2;5;4;[6, 8, 10, 12, 14];[8, 10, 12, 14]
16558194;40647284;18;2;2;2;[16, 18];[16, 18]
16558194;40647284;20;2;2;2;[16, 18];[16, 18]
16558194;40678148;8;2;5;0;[8, 10, 12, 14, 16];[]
16558194;40678148;10;2;5;0;[8, 10, 12, 14, 16];[]
16558194;40678148;12;2;5;0;[8, 10, 12, 14, 16];[]
16558194;40678148;14;2;5;0;[8, 10, 12, 14, 16];[]
16558194;40678148;16;2;2;0;[18, 20];[]
16558194;40678148;18;2;2;0;[18, 20];[]
16755862;41195781;5;1;0;2;[];[5, 11]
16755862;41195781;11;1;0;2;[];[5, 11]
16755862;41195846;5;1;2;0;[5, 11];[]
16755862;41195846;11;1;2;0;[5, 11];[]
18882050;47561271;2;2;0;2;[];[2, 8]
18882050;47561271;8;2;0;2;[];[2, 8]
18882050;47561891;2;2;2;2;[2, 8];[2, 8]
18882050;47561891;8;2;2;2;[2, 8];[2, 8]
18882050;47562285;2;2;2;0;[2, 8];[]
18882050;47562285;8;2;2;0;[2, 8];[]
18908010;48043978;4;2;1;2;[4];[4, 12]
18908010;48059344;4;2;1;2;[4];[4, 12]
18908010;48059344;12;2;1;2;[4];[4, 12]
18908010;48060927;4;2;2;2;[4, 12];[4, 12]
18908010;48060927;12;2;2;2;[4, 12];[4, 12]
18908010;48062409;4;2;2;2;[4, 12];[4, 16]
18908010;48062409;12;2;2;2;[4, 12];[4, 16]
18908010;48125757;4;2;2;2;[4, 12];[4, 16]
18908010;48125757;16;2;2;2;[4, 12];[4, 16]
18908010;146149599;4;2;2;0;[4, 16];[]
18908010;146149599;16;2;2;0;[4, 16];[]
20482888;53275577;3;1;0;2;[];[3, 7]
20482888;53275577;7;1;0;2;[];[3, 7]
20482888;53276404;3;1;2;0;[3, 7];[]
20482888;53276404;7;1;2;0;[3, 7];[]
21325530;56374463;12;2;0;2;[];[2, 12]
21325530;56375675;14;2;2;0;[2, 12];[]
22115936;59288614;2;2;0;2;[];[2, 4]
22115936;59288614;4;2;0;2;[];[2, 4]
22115936;59299364;2;2;2;2;[2, 4];[2, 4]
22115936;59299364;4;2;2;2;[2, 4];[2, 4]
22115936;59310505;2;2;2;2;[2, 4];[2, 4]
22115936;59310505;4;2;2;2;[2, 4];[2, 4]
22115936;116475327;2;2;2;0;[2, 4];[]
22115936;116475327;4;2;2;0;[2, 4];[]
25095831;70649096;4;2;0;2;[];[4, 8]
25095831;70680196;4;2;1;2;[4];[4, 8]
25095831;70680196;8;2;1;2;[4];[4, 8]
25095831;70680358;4;2;2;2;[4, 8];[4, 8]
25095831;70680358;8;2;2;2;[4, 8];[4, 8]
25095831;70681924;4;2;2;0;[4, 8];[]
25095831;70681924;8;2;2;0;[4, 8];[]
26050858;74308811;2;2;0;2;[];[2, 4]
26314477;75318111;3;1;0;2;[];[3, 7]
26314477;75318111;7;1;0;2;[];[3, 7]
26314477;143034213;3;1;2;0;[3, 7];[]
26314477;143034213;7;1;2;0;[3, 7];[]
26587840;76365110;2;2;0;2;[];[2, 4]
26587840;76365110;4;2;0;2;[];[2, 4]
26587840;76365572;2;2;2;0;[2, 4];[]
26587840;76365572;4;2;2;0;[2, 4];[]
29140576;86199974;5;1;0;2;[];[5, 15]
