postId;postHistoryId;localId;blockTypeId;possiblePredOrSuccLocalIds;numberOfPossibleSuccessorsOrPredecessors
3279569;6809089;4;2;[4, 6];2
3552962;7415316;3;1;[3, 5];2
3552962;7415316;5;1;[3, 5];2
3552962;7742937;3;1;[3, 5];2
3552962;7742937;5;1;[3, 5];2
4595976;9714006;4;2;[4, 14];2
4595976;9714006;14;2;[4, 14];2
4595976;9714841;4;2;[4, 14];2
4595976;9714841;14;2;[4, 14];2
4858615;10298548;4;2;[4, 6];2
4858615;10298548;6;2;[4, 6];2
4858615;10299209;4;2;[4, 6];2
4858615;10299209;6;2;[4, 6];2
4858615;10299209;4;2;[4, 6];2
4858615;10299209;6;2;[4, 6];2
4858615;10314315;4;2;[4, 6];2
4858615;10314315;6;2;[4, 6];2
4858615;10314315;4;2;[4, 6];2
4858615;10314315;6;2;[4, 6];2
4858615;10314589;4;2;[4, 6];2
4858615;10314589;6;2;[4, 6];2
4858615;10314589;4;2;[4, 6];2
4858615;10314589;6;2;[4, 6];2
4858615;10341648;4;2;[4, 6];2
4858615;10341648;6;2;[4, 6];2
4858615;10341648;4;2;[4, 6];2
4858615;10341648;6;2;[4, 6];2
4858615;10398990;4;2;[4, 6];2
4858615;10398990;6;2;[4, 6];2
4858615;10398990;4;2;[4, 6];2
4858615;10398990;6;2;[4, 6];2
4858615;10399226;4;2;[4, 6];2
4858615;10399226;6;2;[4, 6];2
5254929;11211345;4;2;[4, 10];2
5577716;11974274;5;1;[5, 9];2
5577716;11974274;9;1;[5, 9];2
5577716;11974985;5;1;[5, 9];2
5577716;11974985;9;1;[5, 9];2
6626847;14481627;2;2;[2, 6];2
6626847;14505496;2;2;[2, 6];2
6626847;14505496;6;2;[2, 6];2
6626847;14548260;2;2;[2, 6];2
6626847;14548260;6;2;[2, 6];2
6626847;14548260;2;2;[2, 6];2
6626847;14548260;6;2;[2, 6];2
6626847;14597243;2;2;[2, 6];2
6626847;14597243;6;2;[2, 6];2
6626847;14597243;2;2;[2, 4];2
6626847;14597243;6;2;[2, 4];2
6626847;14666508;2;2;[2, 6];2
6626847;14666508;4;2;[2, 6];2
6626847;14666508;2;2;[2, 4];2
6626847;14666508;4;2;[2, 4];2
6626847;147077811;2;2;[2, 4];2
6626847;147077811;4;2;[2, 4];2
6760684;14781144;3;1;[3, 9];2
6760684;14781144;4;2;[4, 10];2
6760684;14781144;9;1;[3, 9];2
6760684;14781144;10;2;[4, 10];2
6760684;14781413;3;1;[3, 9];2
6760684;14781413;4;2;[4, 10];2
6760684;14781413;9;1;[3, 9];2
6760684;14781413;10;2;[4, 10];2
6820715;14924506;2;2;[2, 4];2
6820715;14924506;4;2;[2, 4];2
6820715;14925072;2;2;[2, 4];2
6820715;14925072;4;2;[2, 4];2
8825433;20005369;4;2;[4, 6];2
9202891;20871251;6;2;[6, 10];2
12310289;28913454;1;1;[1, 5];2
12310289;28913454;2;2;[2, 6];2
12310289;28913454;3;1;[3, 7];2
12310289;28913454;4;2;[4, 8];2
13530340;32238205;9;1;[9, 13];2
13530340;32238205;13;1;[9, 13];2
13530340;32238535;9;1;[9, 13];2
13530340;32238535;13;1;[9, 13];2
13530340;32238535;9;1;[9, 13];2
13530340;32238535;13;1;[9, 13];2
13530340;32238988;9;1;[9, 13];2
13530340;32238988;13;1;[9, 13];2
13530340;32238988;9;1;[9, 13];2
13530340;32238988;13;1;[9, 13];2
13530340;32239730;9;1;[9, 13];2
13530340;32239730;13;1;[9, 13];2
13530340;32239730;9;1;[9, 13];2
13530340;32239730;13;1;[9, 13];2
13530340;32240621;9;1;[9, 13];2
13530340;32240621;13;1;[9, 13];2
13530340;32240621;9;1;[7, 11];2
13530340;32240621;13;1;[7, 11];2
13530340;32580567;7;1;[9, 13];2
13530340;32580567;11;1;[9, 13];2
13530340;32580567;7;1;[5, 9];2
13530340;32580567;11;1;[5, 9];2
13530340;32580853;5;1;[7, 11];2
13530340;32580853;9;1;[7, 11];2
13530340;32580853;5;1;[5, 9];2
13530340;32580853;9;1;[5, 9];2
13530340;32581088;5;1;[5, 9];2
13530340;32581088;9;1;[5, 9];2
13864539;33174729;14;2;[14, 16, 18, 20, 26, 28, 34];7
13864539;33174729;16;2;[14, 16, 18, 20, 26, 28, 34];7
13864539;33174729;18;2;[14, 16, 18, 20, 26, 28, 34];7
13864539;33174729;20;2;[14, 16, 18, 20, 26, 28, 34];7
13864539;33174729;23;1;[23, 27];2
