PostId,PostTypeId
29813692,1
51134944,1
60809286,1
61251464,1
63171983,1
63806181,1
65008311,1
65061258,1
65068151,1
65083562,1
65122684,1
65123247,1
65134246,1
65135192,1
65137787,1
65138956,1
65145400,1
65145495,1
65146579,1
65146693,1
65153377,1
65154869,1
65155003,1
65155382,1
65159321,1
65160399,1
65161207,1
65161793,1
65162569,1
65162673,1
65163013,1
65163222,1
65163694,1
65164139,1
65164673,1
65164738,1
65164741,1
65164748,1
65164936,1
352251,2
51135050,2
52433923,2
59529399,2
59562408,2
60251602,2
60277162,2
60281142,2
60521221,2
64020740,2
64020770,2
64392218,2
65077940,2
65139038,2
65146459,2
65153397,2
65155426,2
65157144,2
65157910,2
65159075,2
65160739,2
65162213,2
65162647,2
65164213,2
65164232,2
65164312,2
65164767,2
65164805,2
65164851,2
65164880,2
65164895,2
65164933,2
65164950,2
65164959,2
